"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2,P3";"1pin_2m5";2;"CONN_1";;;
2;"P6,P5";"fiducial15";2;"CONN_1";;;
3;"CONN1,CONN3";"SIL-14f1d1.5_double";2;"CONN_14";;;
4;"C1,C16,C17,C23";"VS_SM0805";4;"4u7";;;
5;"C2,C13,C25,C32";"VS_SM0603";4;"1u";;;
6;"C3,C9,C14,C15,C18,C19,C22,C24,C26,C30,C31,C33,C34,C35,C36";"VS_SM0603";15;"100n";;;
7;"C4,C5";"VS_SM0603";2;"470n";;;
8;"C6,C8,R25";"VS_SM0603";3;"NO";;;
9;"C7,C11,C12,C20,C21,C29";"VS_SM0805";6;"10u";;;
10;"C10,C27,C28";"VS_SM0603";3;"33p";;;
11;"C37";"VS_SM0603";1;"10n";;;
12;"D1";"VS_SM0603";1;"LED";;;
13;"JP1";"PIN_ARRAY_2X1";1;"JUMPER";;;
14;"L1,L2";"VS_SM0805";2;"BLM21AG151SN1D";;;
15;"L3";"VS_SM0805";1;"BLM18AG601SN1D";;;
16;"P1";"VS_1PIN";1;"1V8CC";;;
17;"P4";"VS_1PIN";1;"1V3CC";;;
18;"P10";"VS_1PIN";1;"DSP-SDA";;;
19;"P11";"VS_1PIN";1;"DSP-SCL";;;
20;"Q1";"SOT23GDS";1;"MOS_N";;;
21;"R1";"VS_SM0603";1;"2K2";;;
22;"R2";"VS_SM0603";1;"1K";;;
23;"R3,R13";"VS_SM0603";2;"4K7";;;
24;"R4";"VS_SM0603";1;"250K";;;
25;"R5";"VS_SM0603";1;"14K";;;
26;"R6";"VS_SM0603";1;"30K";;;
27;"R7,R12,R29,R30,R35";"VS_SM0603";5;"0";;;
28;"R8,R11";"VS_SM0603";2;"0-NO";;;
29;"R9";"VS_SM0603";1;"10K7";;;
30;"R10";"VS_SM0603";1;"110K";;;
31;"R14,R15";"VS_SM0603";2;"300";;;
32;"R16";"VS_SM0603";1;"220";;;
33;"R17,R19,R21,R22,R23,R24,R26,R27,R28,R31,R32,R33,R34";"VS_SM0603";13;"10K";;;
34;"R18,R20";"VS_SM0603";2;"100K";;;
35;"U1";"VS_SO8E";1;"TPS77801";;;
36;"U2";"RHB_S-PVQFN-N32";1;"TLV320AIC3204";;;
37;"U4";"QRZ_DSX321G_12MHZ";1;"DSX321G_12MHZ";;;
38;"U6";"MCH_FCI-10067847-001";1;"SD";;;
39;"U7";"MICRO_SD";1;"MICRO_SD";;;
40;"X1";"quarzo_smd_32_768kHz";1;"32.768KHz";;;
41;"M1";"MIC_AOM-4540P-R";1;"MIC";;;
42;"P7";"front_vsoh_logo";1;"DSP";;;
43;"P8";"back_info_262013";1;"uC";;;
44;"U5";"S-PBGA-N144";1;"C5535";;;
45;"U3";"DCQ_R-PDSO-G6";1;"TPS79501DCQ";;;
